No,Unit'sName,Name1,Type1,P11,P21,P31,P41,P51,Tage1,Lev1,Crt1,Boost1,Detail1,Name2,Type2,P12,P22,P32,P42,P52,Tage2,Lev2,Crt2,Boost2,Detail2
439,ウィンドロン：ドライ,ウィンドブロウ,風,風,風,風,,,単体,中,,,,ウィンドウェーブ,風,風,風,風,風,風,全体,大,,,
440,ライトロン：ドライ,ライトブロウ,光,光,光,光,,,単体,中,,,,ライトウェーブ,光,光,光,光,光,光,全体,大,,,
441,ダクトロン：ドライ,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,,ダークウェーブ,闇,闇,闇,闇,闇,闇,全体,大,,,
442,ノントロン：ドライ,ノーンブロウ,無,無,無,無,,,単体,中,,,,ノーンウェーブ,無,無,無,無,無,無,全体,大,,,
443,ディバインロイド,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドブロウ,風,風,風,風,,,単体,中,,,
444,恋乙女エキドナ,セレスライタラア,炎,炎,炎,,,,単体,中,,,,ファイアヒールⅡ,炎,回,回,炎,,,回復,20%,,,
445,癒乙女マーメイド,セレスアクアラア,水,水,水,,,,単体,中,,,,アクアヒールⅡ,水,回,回,水,,,回復,20%,,,
446,森乙女アルラウネ,セレスウィンダラア,風,風,風,,,,単体,中,,,,ウィンドヒールⅡ,風,回,回,風,,,回復,20%,,,
447,戦乙女ワルキューレ,セレスライタラア,光,光,光,,,,単体,中,,,,ライトヒールⅡ,光,回,回,光,,,回復,20%,,,
448,悪乙女サキュバス,セレスダークラア,闇,闇,闇,,,,単体,中,,,,ダークヒールⅡ,闇,回,回,闇,,,回復,20%,,,
449,霊乙女ゴースト,セレスノーンラア,無,無,無,,,,単体,中,,,,ノーンヒールⅡ,無,回,回,無,,,回復,20%,,,
450,セキメン,袈裟斬り,炎,炎,炎,,,,単体,小,,,,一文字斬り,炎,炎,炎,炎,炎,,単体,大,,,
451,侍,袈裟斬り,炎,炎,炎,,,,単体,小,,,,真一文字斬り,炎,炎,炎,炎,炎,,単体,特大,,,
452,ガイア,ガイアパンチ,水,水,水,,,,単体,小,,,,ガイアキック,水,水,水,水,,,単体,中,,,
453,野生児,ワイルドパンチ,水,水,水,,,,単体,中,,,,ワイルドキック,水,水,水,水,,,単体,大,,,
454,ウマスク,ファーストドロウ,風,風,風,,,,単体,小,,,,ホースショット,風,風,風,風,風,,全体,大,,,
455,ガンマン,クイックドロウ,風,風,風,,,,単体,中,,,,ホースショット,風,風,風,風,風,,全体,大,,,
456,ケリ姫,スイーツシュート,光,光,光,,,,単体,小,,,,ハートシュート,光,回,回,回,回,,全体,大,,,
457,アン・パント・ケットバス,ドライブスイーツシュート,光,光,光,,,,単体,中,,,,ドライブハートシュート,光,回,回,回,回,,全体,特大,,,
458,999,ホラーサイズ,闇,闇,闇,,,,単体,小,,,,ハートスライス,闇,闇,闇,闇,闇,,全体,大,,,
459,執行者,テラーサイズ,闇,闇,闇,,,,単体,中,,,,デススライス,闇,闇,闇,闇,,,全体,大,,,
460,ウィング,アタックノイズ,無,無,無,無,,,単体,中,,,,癒しの調べ,無,回,回,無,,,回復,20%,,,
461,演奏家,アタックノイズ,無,無,無,無,,,単体,中,,,,癒しの旋律,無,回,回,無,,,回復,25%,,,
462,ケリ姫：聖服,低めのシュート,光,回,回,,,,単体,小,,,,高めのシュート,光,光,光,光,,,全体,小,,,
463,ケリ姫：聖装,低めの全力シュート,光,回,回,,,,単体,中,,,,高めの全力シュート,光,光,光,光,,,全体,中,,,
464,ユーレイン,フレイム,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
465,シオマネキー,バブル,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
466,ワンリップ,ぱっくん,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
467,砲ネット,ハニガン,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
468,シンユウ,友愛電波,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
469,ギョロリ,アイビーム,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
470,プチリンチー,突っつく,炎,炎,炎,炎,炎,炎,単体,小,,,,,,,,,,,,,,,
471,ユーリンチー,燃え盛るクチバシ,炎,炎,炎,炎,,,単体,中,,,,,,,,,,,,,,,
472,チビガウ,ガウッ,無,無,無,無,,,単体,中,,,,ガウガウッ,無,無,無,無,無,無,単体,特大,,,
473,オズ,フレア・マジック,炎,炎,炎,,,,単体,中,,,,クラウン・トリック,炎,炎,炎,炎,炎,,全体,小,,,
474,道化竜オズ,フレア・ステージ,炎,炎,炎,,,,単体,大,,,,クラウン・トリック,炎,炎,炎,炎,炎,,全体,小,,,
475,トト,アクア・ショー,水,水,水,,,,単体,小,,,,サモン・ビースト,水,水,水,水,,,全体,大,,,
476,道化犬トト,アクア・ライブ,水,水,水,,,,単体,中,,,,サモン・ビースト,水,水,水,水,,,全体,大,,,
477,カカシ,ウィンド・ショー,風,風,風,,,,単体,小,,,,スケア・ブロウ,風,風,風,風,,,全体,中,,,
478,道化魔カカシ,ウィンド・ライブ,風,風,風,,,,単体,中,,,,スケア・ブロウ,風,風,風,風,,,全体,中,,,
479,レオン,ライト・ショー,光,光,光,,,,単体,小,,,,キング・オブ・ビースト,光,光,光,光,光,光,全体,特大,,,
480,道化獣レオン,ライト・ライブ,光,光,光,,,,単体,中,,,,キング・オブ・ビースト,光,光,光,光,光,光,全体,特大,,,
481,ドロシー,ダーク・マジック,闇,闇,闇,,,,単体,小,,,,メルヘン・ペイン,闇,回,闇,,,,回復,15%,,,
482,道化嬢ドロシー,ダーク・ステージ,闇,闇,闇,,,,単体,中,,,,メルヘン・ペイン,闇,回,闇,,,,回復,15%,,,
483,ブリキ,ノーン・ショー,無,無,無,,,,単体,中,,,,ジャンク・シュート,無,無,無,無,無,無,全体,中,,,
484,道化機ブリキ,ノーン・ライブ,無,無,無,,,,単体,大,,,,ジャンク・シュート,無,無,無,無,無,無,全体,中,,,
485,コドラチョコタルト,ファイアボール,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
486,ドラチョコタルト,ファイアボール,炎,炎,炎,,,,単体,小,,,,スウィート・フレア,炎,水,風,,,,単体,中,,,
487,コドラマッチャ,ウィンドボール,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
488,ドラマッチャ,ウィンドボール,風,風,風,,,,単体,小,,,,スウィート・ウィンド,風,炎,水,,,,単体,中,,,
489,コドラチョコバー,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
490,ドラチョコバー,ライトボール,光,光,光,,,,単体,小,,,,スウィート・ライト,光,闇,無,,,,単体,中,,,
491,イセ,ドラゴファイア,炎,炎,炎,,,,単体,小,,,,義理チョコ,炎,回,炎,闇,,,回復,35%,,,
492,甘女竜イセ,ドラゴファイアラア,炎,炎,炎,,,,単体,中,,,,本命チョコ,炎,回,炎,闇,,,回復,40%,,,
493,インダストラ,ナノ・リヴァイアサン,水,水,水,水,,,単体,小,,,,フルドラゴアクアラア,水,水,水,水,水,水,全体,中,,,
494,水明竜インダストラ,テラ・リヴァイアサン,水,水,水,水,,,単体,中,,,,フルドラゴアクアスト,水,水,水,水,水,水,全体,大,,,
495,エジプトラ,ナノ・ニーズヘッグ,闇,闇,闇,闇,,,単体,小,,,,フルドラゴダークラア,闇,闇,闇,闇,闇,闇,全体,中,,,
496,闇明竜エジプトラ,テラ・ニーズヘッグ,闇,闇,闇,闇,,,単体,中,,,,フルドラゴダーケスト,闇,闇,闇,闇,闇,闇,全体,大,,,
497,メソポティア,ナノ・ウロボロス,無,無,無,無,,,単体,小,,,,フルドラゴノーンラア,無,無,無,無,無,無,全体,中,,,
498,無明竜メソポティア,テラ・ウロボロス,無,無,無,無,,,単体,中,,,,フルドラゴノーンスト,無,無,無,無,無,無,全体,大,,,
499,アメリカーナ,ナノ・サラマンダー,炎,炎,炎,炎,,,単体,小,,,,フルドラゴファイアラア,炎,炎,炎,炎,炎,炎,全体,中,,,
500,炎明竜アメリカーナ,テラ・サラマンダー,炎,炎,炎,炎,,,単体,中,,,,フルドラゴファイアスト,炎,炎,炎,炎,炎,炎,全体,大,,,
501,アンデルス,ナノ・ヨルムンガルド,風,風,風,風,,,単体,小,,,,フルドラゴウィンダラア,風,風,風,風,風,風,全体,中,,,
502,風明竜アンデルス,テラ・ヨルムンガルド,風,風,風,風,,,単体,中,,,,フルドラゴウィンダスト,風,風,風,風,風,風,全体,大,,,
503,コウガニア,ナノ・ファーブニル,光,光,光,光,,,単体,小,,,,フルドラゴライタラア,光,光,光,光,光,光,全体,中,,,
504,光明竜コウガニア,テラ・ファーブニル,光,光,光,光,,,単体,中,,,,フルドラゴライテスト,光,光,光,光,光,光,全体,大,,,
505,初春飾利,諦めないでください,炎,炎,炎,,,,単体,中,,,,私の親友なんだからっ,炎,炎,炎,炎,,,全体,中,,,
506,レベル１・初春飾利,私に任せちゃって下さい,炎,炎,炎,,,,単体,大,,,,リミッター解除ですからっ,炎,炎,炎,炎,,,全体,大,,,
507,インデックス,祈りは届く,水,水,水,,,,単体,小,,,,人はそれで救われる,水,水,水,水,,,全体,大,,,
508,魔道書図書館・インデックス,私たちの祈りで,水,水,水,,,,単体,中,,,,救ってみせる,水,水,水,水,,,全体,特大,,,
509,白井黒子,お断りですわ,風,風,風,,,,単体,小,,,,最後通告ですの,風,風,風,風,,,全体,大,,,
510,レベル４・白井黒子,叩き潰して差し上げますわ,風,風,風,,,,単体,中,,,,ジャッジメントですの,風,風,風,風,,,全体,超特大,,,
511,御坂美琴,私を誰だと思ってんの？,光,光,光,,,,単体,中,,,,ちぇいさーっ！！,光,光,光,光,光,,単体,超特大,,,
512,レベル５・御坂美琴,迷ってるヒマはなさそうね,光,光,光,,,,単体,大,,,,戦う気があるなら拳を握れ,光,光,光,光,光,,単体,絶大,,,
513,一方通行,三下ァ！,闇,闇,闇,,,,全体,大,,,,ンだァその逃げ腰は,闇,闇,闇,闇,,,全体,絶大,,,
514,レベル５・一方通行,三下ァ！,闇,闇,闇,,,,全体,大,,,,こっから先は一方通行だ,闇,闇,闇,闇,,,全体,超特大,,,
515,上条当麻,不幸だ,無,無,無,,,,単体,小,,,,いい加減に始めようぜ,無,無,無,無,,,単体,特大,,,
516,レベル０・上条当麻,歯を食いしばれよ,無,無,無,,,,単体,中,,,,その幻想をぶちころす！！,無,無,無,無,,,単体,超特大,,,
517,鳴護アリサ,歌いたいよ,光,光,光,,,,単体,小,,,,今の私の夢かな,光,回,回,光,,,回復,20%,,,
518,歌姫・鳴護アリサ,私は歌います,光,光,光,,,,単体,中,,,,奇蹟の歌を,光,回,回,光,,,回復,30%,,,
519,ミーシャ＝クロイツェフ,水翼,水,水,水,,,,単体,小,,,,メム=テト=ラメド=ザイン,水,水,水,水,,,単体,中,,,
520,オリアナ＝トムソン,ドロップレスト,風,風,風,,,,単体,小,,,,ブレードクレーター,無,無,無,無,,,単体,大,,,
521,土御門元春,黒ノ式,水,水,無,,,,単体,中,,,,赤ノ式,炎,炎,無,,,,全体,小,,,
522,ステイル＝マグヌス,炎剣,炎,炎,炎,,,,単体,中,,,,吸血殺しの紅十字,炎,炎,炎,炎,,,単体,特大,,,
523,神裂火織,やりますね,無,無,無,,,,全体,小,,,,七閃,無,無,無,無,無,無,単体,超特大,,,
524,風斬氷華,友達だから,無,無,無,,,,全体,小,,,,,,,,,,,,,,,
525,御坂妹：炎,銃撃：炎,炎,炎,炎,,,,単体,小,,,,雷撃の槍,光,光,光,光,,,単体,中,,,
526,御坂妹：水,銃撃：水,水,水,水,,,,単体,小,,,,雷撃の槍,光,光,光,光,,,単体,中,,,
527,御坂妹：風,銃撃：風,風,風,風,,,,単体,小,,,,雷撃の槍,光,光,光,光,,,単体,中,,,
528,御坂妹：光,銃撃：光,光,光,光,,,,単体,小,,,,雷撃の槍,光,光,光,光,,,単体,中,,,
529,御坂妹：闇,銃撃：闇,闇,闇,闇,,,,単体,小,,,,雷撃の槍,光,光,光,光,,,単体,中,,,
530,打ち止め：ラストオーダー,必殺バタ足攻撃,無,無,無,,,,単体,小,,,,ミサカが守ってあげるんだ,無,無,無,無,,,単体,中,,,
531,ニトロ,ドラゴンファング,無,無,無,,,,単体,小,,,,ドラゴンクロー,無,無,無,無,,,単体,中,,,
532,化合竜ニトロ,ニトロファング,無,無,無,,,,単体,中,,,,ニトロクロー,無,無,無,無,,,単体,大,,,
533,ティターニア,セレスライト,光,光,光,,,,単体,小,,,,ビューティ・サンセット,光,回,回,回,回,,全体,小,,,
534,妖精王ティターニア,セレスライタラア,光,光,光,,,,単体,中,,,,ビューティ・サンライズ,光,回,回,回,回,,全体,大,,,
535,アプスタエッグ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
536,ハイアプスタエッグ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,
537,キングアプスタエッグ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヴォルト,炎,炎,炎,炎,炎,,単体,大,,,
538,ヨウコウ,クルエル・ファイア,炎,回,回,炎,,,回復,15%,,,,,,,,,,,,,,,
539,炎拘獣ヨウコウ,カインド・ファイア,炎,回,炎,,,,回復,15%,,,,,,,,,,,,,,,
540,ルリ,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
541,水拘獣ルリ,アクア・シャウト,水,水,水,,,,全体,小,,,,,,,,,,,,,,,
542,トキワ,ウィンドボール,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
543,風拘獣トキワ,ワイルドウィンド,風,風,風,,,,単体,中,,,,,,,,,,,,,,,
544,コガネ,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
545,光拘獣コガネ,ワイルドライト,光,光,光,,,,単体,中,,,,,,,,,,,,,,,
546,キョウ,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
547,闇拘獣キョウ,ワイルドダーク,闇,闇,闇,,,,単体,中,,,,,,,,,,,,,,,
548,ナマリ,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
549,無拘獣ナマリ,ワイルドノーン,無,無,無,,,,単体,中,,,,,,,,,,,,,,,
550,コドラケーキ,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
551,ドラケーキ,アクアボール,木,水,水,,,,単体,小,,,,スウィート・アクア,水,炎,風,,,,単体,中,,,
552,コドラヨウカン,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
553,ドラヨウカン,ダークボール,闇,闇,闇,,,,単体,小,,,,スウィート・ダーク,闇,光,無,,,,単体,中,,,
554,コドラシェルチョコ,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
555,ドラシェルチョコ,ノーンボール,無,無,無,,,,単体,小,,,,スウィート・ノーン,無,光,闇,,,,単体,中,,,
556,アツヨシ,ドラゴアクア,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
557,甘男竜アツヨシ,ドラゴアクアラア,水,水,水,,,,単体,中,,,,,,,,,,,,,,,
558,ファティマ,アポカリプス,風,風,風,,,,単体,小,,,,ミスディレクション,風,風,風,風,,,全体,大,,,
559,幻奏者ファティマ,アポカリプス・マリア,風,風,,,,,単体,小,,,,デスディレクション,風,風,風,風,,,全体,特大,,,
560,常守朱：パラライザー,パラライザー,無,無,無,,,,単体,小,,,,いい気にならないで！,炎,炎,炎,炎,炎,炎,全体,特大,,,
561,常守朱：エリミネーター,エリミネーター,無,無,無,,,,単体,中,,,,人が法を守るんです,炎,炎,炎,炎,炎,炎,全体,超特大,,,
562,宜野座伸元：パラライザー,パラライザー,無,無,無,,,,単体,小,,,,どうゆうことだ？,水,水,水,,,,単体,小,16%,,
563,宜野座伸元：エリミネーター,エリミネーター,無,無,無,,,,単体,中,,,,遅すぎるだろうが！,水,水,水,,,,単体,中,16%,,
564,六合塚弥生：パラライザー,パラライザー,無,無,無,,,,単体,小,,,,地雷踏んだわよ。あなた。,風,風,風,光,,,全体,大,,,
565,六合塚弥生：エリミネーター,エリミネーター,無,無,無,,,,単体,中,,,,もっと急いで！,風,風,光,,,,全体,大,,,
566,縢秀星：パラライザー,パラライザー,無,無,無,,,,単体,小,,,,おやおや悪い子だぁ,光,光,光,光,,,単体,中,24%,,
567,縢秀星：エリミネーター,エリミネーター,無,無,無,,,,単体,中,,,,勘違いすんじゃねーよ,光,光,光,光,,,全体,大,24%,,
568,狡噛慎也：パラライザー,パラライザー,無,無,無,,,,単体,小,,,,サイの目が出たぜ,闇,闇,闇,闇,闇,,単体,大,,,
569,狡噛慎也：スターム・ルガー,スターム・ルガー,無,無,無,,,,単体,大,,,,もう二度とゴメンだね,闇,闇,闇,闇,闇,,単体,超特大,,,
570,征陸智己：パラライザー,パラライザー,無,無,無,,,,単体,小,,,,何考えてんだ！,無,無,無,無,無,無,単体,超特大,,,
571,征陸智己：エリミネーター,エリミネーター,無,無,無,,,,単体,中,,,,強い酒が一番なのさ,無,無,無,無,無,,単体,超特大,,,
572,分析官・唐之杜志恩,妙なのが見つかったよぅ,光,光,光,,,,単体,小,,,,せーかいっ,光,回,回,光,,,回復,20%,,,
573,情報分析官・唐之杜志恩,それって私のことでしょう,光,光,光,,,,単体,中,,,,この程度じゃ燃えないわ,光,回,光,風,,,回復,35%,,,
574,槙島聖護,ブラック・ジャック,無,無,無,無,,,単体,中,,,,君には失望した,無,無,無,無,無,無,全体,大,,,
575,免罪体質者・槙島聖護,カミソリ,無,無,無,無,,,単体,大,,,,絶望するがいい,無,無,無,無,無,無,全体,特大,,,
576,ドローン：シグナルレッド,シグナルレッド,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
577,ドローン：シグナルブルー,シグナルブルー,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
578,ドローン：シグナルグリーン,シグナルグリーン,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
579,ドローン：シグナルイエロー,シグナルイエロー,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
580,ドローン：シグナルパープル,シグナルパープル,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
581,ドローン：シグナルホワイト,シグナルホワイト,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
582,デラト,フレアパルス,炎,炎,炎,炎,,,単体,大,,,,ライトアームズ,光,光,光,光,光,,全体,中,,,
583,炎喜竜デラト,ネオフレアパルス,炎,炎,炎,炎,,,単体,特大,,,,ネオライトアームズ,光,光,光,光,光,,全体,大,,,
584,アング,アクアパルス,水,水,水,水,,,単体,中,,,,ノーンアームズ,無,無,無,無,無,,単体,大,,,
585,水怒竜アング,ネオアクアパルス,水,水,水,水,,,単体,大,,,,ネオノーンアームズ,無,無,無,無,無,,単体,特大,,,
586,ジョーイ,ウィンドパルス,風,風,風,,,,単体,小,,,,ダークアームズ,闇,闇,闇,闇,,,単体,中,,,
587,風楽竜ジョーイ,ネオウィンドパルス,風,風,風,,,,単体,中,,,,ネオダークアームズ,闇,闇,闇,闇,,,全体,中,,,
588,ラブー,ライトパルス,光,光,光,,,,単体,小,,,,フレアアームズ,炎,炎,炎,炎,炎,,単体,特大,,,
589,光愛竜ラブー,ネオライトパルス,光,光,光,,,,単体,中,,,,ネオフレアアームズ,炎,炎,炎,炎,,,単体,特大,,,
590,サッド,ダークパルス,闇,闇,闇,闇,,,単体,大,,,,ウィンドアームズ,風,風,風,,,,全体,小,,,
591,闇哀竜サッド,ネオダークパルス,闇,闇,闇,,,,単体,大,,,,ネオウィンドアームズ,風,風,風,,,,全体,中,,,
592,ヘート,ノーンパルス,無,無,無,,,,単体,小,,,,アクアアームズ,水,水,水,,,,単体,小,,,
593,無憎竜ヘート,ネオノーンパルス,無,無,無,,,,単体,中,,,,ネオアクアアームズ,水,水,水,,,,単体,中,,,
594,ノア,ナノ・アーク,炎,炎,炎,炎,,,単体,中,,,,,,,,,,,,,,,
595,竜王ノア,テラ・アーク,炎,炎,炎,炎,,,単体,特大,,,,イリス,炎,炎,炎,炎,水,風,単体,超特大,,,
596,レディリー＝タングルロード,今度こそ終わりよ,闇,闇,闇,,,,単体,小,,,,さあ一緒に終わりましょう,闇,回,回,回,回,,全体,大,,,
597,ホルステン,リューベック,風,風,風,,,,単体,小,,,,リリース：ウィンド,風,風,風,風,風,風,全体,大,,,
598,風番人ホルステン,リューベック：ツヴァイ,風,風,風,,,,単体,中,,,,エミッション：ウィンド,風,風,風,風,風,風,全体,特大,,,
599,ハールレム,サロモン,光,光,光,,,,単体,小,,,,リリース：ライト,光,光,光,光,光,光,全体,大,,,
600,光番人ハールレム,サロモン：トゥエイ,光,光,光,,,,単体,中,,,,エミッション：ライト,光,光,光,光,光,光,全体,特大,,,
601,サクラダ,アカオニ,炎,炎,炎,,,,単体,小,,,,リリース：フレイム,炎,炎,炎,炎,炎,炎,全体,大,,,
602,炎番人サクラダ,アカオニ：弐式,炎,炎,炎,,,,単体,中,,,,エミッション：フレイム,炎,炎,炎,炎,炎,炎,全体,特大,,,
603,ラショウ,イバラキドウジ,無,無,無,,,,単体,小,,,,リリース：ノーン,無,無,無,無,無,無,全体,大,,,
604,無番人ラショウ,イバラキドウジ：弐式,無,無,無,,,,単体,中,,,,エミッション：ノーン,無,無,無,無,無,無,全体,特大,,,
605,アルカラ,レティーロ,水,水,水,,,,単体,小,,,,リリース：アクア,水,水,水,水,水,水,全体,大,,,
606,水番人アルカラ,ドス：レティーロ,水,水,水,,,,単体,中,,,,エミッション：アクア,水,水,水,水,水,水,全体,特大,,,
607,ラティーナ,アッピア,闇,闇,闇,,,,単体,小,,,,リリース：ダーク,闇,闇,闇,闇,闇,闇,全体,大,,,
608,闇番人ラティーナ,アッピア：ドゥーエ,闇,闇,闇,,,,単体,中,,,,エミッション：ダーク,闇,闇,闇,闇,闇,闇,全体,特大,,,
609,エビルアーサー,エビルカリバー,闇,闇,闇,,,,単体,大,,,,,,,,,,,,,,,
610,堕王エビルアーサー,エビルカリバー：バースト,闇,闇,闇,,,,単体,特大,,,,,,,,,,,,,,,
611,ユキノ,天秤宮のライブラ,光,光,闇,,,,単体,中,,,,双魚宮のピスケス,無,無,光,,,,単体,中,,,
612,星霊魔導士ユキノ,蛇遣座のオフィウクス,光,光,光,,,,単体,中,,,,母子一体:双魚宮のピスケス,無,無,光,,,,単体,大,,,
613,カグラ,怨刀・不倶戴天・剛の型,無,無,無,,,,単体,中,,,,道は視えた,無,無,無,無,無,,全体,大,,,
614,人魚の踵：カグラ,怨刀・不倶戴天・斬の型,無,無,無,,,,単体,大,,,,本気で行くぞ,無,無,無,無,,,全体,大,,,
615,ゼレフ,罰を受けてもらうよ,闇,闇,闇,,,,単体,中,,,,,,,,,,,,,,,
616,黒魔導士ゼレフ,悔い改めよ,闇,闇,闇,,,,単体,大,,,,,,,,,,,,,,,
617,シェリア,天神の舞,風,風,風,,,,単体,小,,,,天神の北風,風,風,風,風,風,,全体,大,,,
618,リオン,アイスメイク・大鷲,水,水,水,,,,全体,小,,,,アイスメイク・白虎,水,水,水,水,,,単体,中,,,
619,ローグ,影竜の斬撃,闇,闇,闇,,,,単体,小,,,,影竜の咆哮,闇,闇,闇,闇,,,全体,小,,,
620,スティング,白竜の咆哮,光,光,光,,,,全体,小,,,,白竜のホーリーブレス,光,光,光,光,光,,単体,特大,,,
621,ミネルバ,絶対領土,炎,炎,炎,,,,単体,小,,,,イ・ラーグド,炎,炎,炎,炎,炎,炎,全体,超特大,,,
622,ウルティア,フラッシュフォワード,水,水,水,,,,単体,中,,,,レストア,水,回,回,水,,,回復,20%,,,
623,一夜,メェ−ン,光,光,光,,,,単体,特大,,,,あなたの為の一夜でぇす,光,光,光,光,光,,全体,超特大,,,
624,グリュプス,ソロウ,風,風,風,,,,全体,中,,,,,,,,,,,,,,,
625,天上獣グリュプス,ソロウ：セカンド,風,風,風,,,,全体,大,,,,,,,,,,,,,,,
626,ディバインロイド Mk-Ⅱ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークブロウ,闇,闇,闇,闇,,,単体,中,,,
627,ヒメヅル,ヒメヅル,炎,炎,炎,,,,単体,中,,,,,,,,,,,,,,,
628,炎魔将ヒメヅル,ヒメヅル：弐式,炎,炎,炎,,,,単体,大,,,,,,,,,,,,,,,
629,ムラサメ,エナジーヒール：アクア,水,水,水,,,,回復,5%,,,,,,,,,,,,,,,
630,水魔将ムラサメ,エナジーヒール：アクアⅡ,水,水,水,,,,回復,10%,,,,,,,,,,,,,,,
631,ヤスツナ,ヤスツナ,風,風,風,,,,単体,小,,,,試し斬り,風,風,風,風,風,,単体,特大,,,
632,風魔将ヤスツナ,ヤスツナ：弐式,風,風,風,,,,単体,中,,,,童子斬り,風,風,風,風,,,単体,特大,,,
633,ライキリ,ライキリ,光,光,光,,,,全体,小,,,,雷斬り,光,光,光,光,,,全体,大,,,
634,光魔将ライキリ,ライキリ：弐式,光,光,光,,,,全体,中,,,,雷神斬り,光,光,光,光,,,全体,特大,,,
635,ムラマサ,エナジーヒール：ダーク,闇,闇,闇,,,,回復,5%,,,,,,,,,,,,,,,
636,闇魔将ムラマサ,エナジーヒール：ダークⅡ,闇,闇,闇,,,,回復,10%,,,,,,,,,,,,,,,
637,ナキリ,ナキリ,無,無,無,,,,単体,中,,,,,,,,,,,,,,,
638,無魔将ナキリ,ナキリ：弐式,無,無,無,,,,単体,大,,,,,,,,,,,,,,,
639,フシミ,エナジーヒール：キュウビ,炎,炎,炎,炎,,,回復,10%,,,,,,,,,,,,,,,
640,母狐フシミ,エナジーヒール：ホムラ,炎,炎,炎,炎,,,回復,15%,,,,,,,,,,,,,,,
641,コンリウム,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
642,フォクスリウム,アクアボール,水,水,水,,,,単体,小,,,,アクアビート,水,水,水,水,水,水,全体,小,,,
643,アゲポックル,アクアボール,水,水,水,,,,単体,小,,,,アクアヒール,水,回,水,,,,回復,10%,,,
644,アゲポックルン,アクアボール,水,水,水,,,,単体,小,,,,アクアヒールⅡ,水,回,回,水,,,回復,20%,,,
645,フォック・スィー,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
646,フォク・スィー,アクアブロウ,水,水,水,水,,,単体,中,,,,,,,,,,,,,,,
647,ギルガメッシュ,サウザンドライバ,闇,闇,無,,,,全体,中,,,,,,,,,,,,,,,
648,征服王ギルガメッシュ,ミリオンドライバ,闇,闇,無,,,,全体,大,,,,,,,,,,,,,,,
649,ヴィヴィアン,レディ・ヒール,水,回,,,,,回復,8%,,,,カリブルヌス：ゼロ,水,回,回,,,,全体,特大,,,
650,湖妖精ヴィヴィアン,レイク・ヒール,水,回,,,,,回復,12%,,,,カリブルヌス,水,回,回,,,,全体,超特大,,,
651,ケリ姫：アリスドレス,チェシャシュート,水,回,回,,,,単体,小,,,,アクアシュート,水,水,水,水,,,単体,超特大,,,
652,青の女王ケリ姫,チェシャ・クロノシュート,水,回,回,,,,単体,中,,,,ドライブアクアシュート,水,水,水,水,,,単体,絶大,,,
653,ゲキリンチー,激しく燃え盛るクチバシ,炎,炎,炎,,,,単体,中,,,,激転生霊鳥の怒り,炎,炎,炎,炎,炎,炎,単体,超特大,,,
654,五河琴里,起ーきーろーっ,炎,炎,炎,,,,単体,小,,,,愛してるぞっお兄ちゃん,炎,回,回,炎,,,回復,15%,,,
655,イフリート：五河琴里,灰燼と化せ,炎,炎,炎,,,,単体,中,,,,派手にやってくれたわね,炎,回,回,炎,,,回復,25%,,,
656,四糸乃,いたいのが、きらいです,水,回,回,水,,,回復,10%,,,,,,,,,,,,,,,
657,ハーミット：四糸乃,こわいのも、きらいです,水,回,水,,,,回復,10%,,,,,,,,,,,,,,,
